player_id,role_level,vip_level,account_age_days,battle_rank,online_time,1d_login_cnt,1w_login_cnt,1m_login_cnt,capability,online_get_exp_amt,recharge_amt,online_get_money_amt,device_width,device_height,os_ver,cheat,churn
1,160,9,2560,8110013,5604.010682,8,94,408,65510,975.9907592,-0.015951361,1049482.998,1334,750,1.997800301,0,1
2,38,0,2226,8110002,1621.016844,2,9,9,4799,315.9866891,0.009633726,69880.97358,2340,1080,9.998894017,0,0
3,69,4,2413,8110009,7451.008494,12,69,114,11927,1287.002452,0.009256451,388416.0054,2208,1080,10.99055676,0,0
4,160,9,2560,8110013,5603.9982,8,94,408,65510,975.9837703,0.021465852,1049483.013,1334,750,1.994679803,0,1
5,38,0,2226,8110002,1620.99953,2,9,9,4799,316.0018433,0.001960934,69881.00398,2340,1080,9.985042294,0,0
6,160,10,2477,8110025,10141.00305,11,96,360,46929,1103.008899,-0.008512153,655768.9787,2160,1080,10.98945891,1,1
7,58,1,2576,8110002,-0.001261676,0,0,0,9951,0.014006868,-0.003947135,0.004063173,2016,1080,8.002083573,0,0
8,74,2,2164,8110021,10623.00701,9,46,135,9119,1221.005393,0.001943355,252119.998,2138,1080,11.01112087,0,0
9,52,1,2125,8110017,8618.006734,7,47,65,7226,1891.011889,-0.005417904,332830.0131,2224,1668,5.988341343,0,0
10,53,7,2168,8110000,0.004962868,0,1,4,13275,0.008893959,0.008027814,-0.000400235,1792,828,4.995543055,0,0
11,96,0,2308,8110009,2551.985584,1,8,36,18764,629.9986444,-0.003678747,217103.9938,2159,1080,10.99028012,0,0
12,73,5,2132,8110010,15639.99789,22,169,540,14094,1255.011258,-0.000540608,402691.9857,2208,1080,10.9921166,1,1
13,124,0,2355,8110023,7465.017753,6,53,250,36550,732.0106832,0.002530064,441092.9962,1920,1080,9.006951161,0,0
14,160,0,2582,8110011,8875.993453,19,140,601,52177,835.0010824,0.01358237,1425366.986,2001,1125,5.989142922,0,1
15,40,0,2410,8110000,-0.003299107,0,1,7,2115,0.00275182,-0.016208005,0.002231799,1520,720,9.994457949,0,0
16,88,2,2566,8110009,0.001017853,0,8,59,14630,-0.00858602,-0.000662438,-0.014207118,2340,1080,10.00458002,0,0
17,99,5,2286,8110007,-0.001749912,0,6,100,22929,0.006233135,0.014430011,0.006243093,2436,1125,3.992708772,0,0
18,140,5,2463,8110014,9888.991247,11,95,422,42228,723.0055537,-0.001546409,311706.9965,2050,1080,11.00017747,1,0
19,140,5,2463,8110014,9888.99981,11,95,422,42228,722.9887212,0.013108358,311706.9794,2050,1080,11.00989501,1,0
20,86,4,2575,8110023,5599.981156,9,13,43,21293,228.0011398,-0.007601498,75870.00604,2436,1125,4.994362118,0,0
21,141,6,2572,8110006,212.9933468,1,8,32,36920,395.0022487,0.020743424,75973.01111,2220,1080,11.01032608,0,0
22,48,0,2267,8110016,548.9856571,2,4,11,7363,209.9944812,0.00530408,23400.02245,1571,810,10.99818855,0,0
23,160,10,2477,8110025,10140.9925,11,96,360,46929,1103.019618,-0.017375895,655769.0126,2160,1080,11.00113636,1,1
24,78,0,2576,8110003,-0.013059649,0,1,4,12577,0.003779497,0.004991545,0.011253526,2159,1080,11.01029321,0,0
25,40,0,2569,8110000,15024.00657,11,27,27,5088,1822.010138,-0.019397127,489749.9853,1024,768,7.975957179,1,0
26,68,0,2174,8110009,3265.987487,10,56,195,8780,1259.996948,-0.011235719,184448.9936,2208,1242,6.998704823,0,0
27,109,5,2558,8110000,-0.016654448,0,0,1,25170,-0.004439888,0.006475532,-0.011760361,2141,1080,10.99549723,0,0
28,58,1,2576,8110002,-0.007957353,0,0,0,9951,0.004961043,-0.003781246,0.001460006,2016,1080,8.003261799,0,0
